Těně,rozc.|49.76026|13.78231
Kuřim,kult.dům|49.30767|16.5318
Vědomice,most|50.42805|14.26147
Starý Jičín,Jičina,kaple|49.57152|17.96219
Břeclav,CLO D2|48.68622|16.98721
Rtyně n.Bílinou,kostel|50.60386|13.90923
Veltruby,,II|50.02893|15.19278
Brodské,CLO D2|48.68622|16.98721
Gorzyczki,CLO D1|49.93629|18.40704
Kolín,PZKO NIPPON|50.07546|15.2273
Radim|50.07353|15.00751
Sarata,AS|49.95679|12.6975
Bratislava,AS|50.05239|14.28598
Kolín,PZKO TOYOTA TSUSHO|50.07353|15.21777
Ráby,křižovatka|50.07063|15.80201
Veltruby,,I|50.05843|15.18754
Olomouc,Chválkovická-Epava|49.60709|17.28217
Rokytá,Dolní Rokytá,ObÚ|50.55418|14.87654
Pardubice,Fáblovka|50.05956|15.77462
Jiříkov,CLO|50.95545|14.55366
Olomouc,AŽD|49.60795|17.28629
Medyka,CLO|50.2146|15.81077
Kolín,OC Stará plynárna|50.02104|15.21027
Ústí nad Labem,Předlice Jateční|50.66173|14.0041
Doloplazy,u hřiště|49.56522|17.41493
Náchod,CLO|50.41692|16.16867
Olomouc,Sigma|49.60035|17.24754
Staré Město,žel.st.|49.07617|17.4229
Rumburk,CLO|50.95545|14.55366
Rosice,Litostrovská|49.18749|16.3757
Lvov,AS Strijskij|50.7828|14.79051
Milevsko,Nádraží ČD|49.4418|14.37796
Doloplazy,u lípy|49.56807|17.41384
Olomouc,Na Rohu|49.59595|17.24694
Mýto,rozc.ke hřbitovu|49.79863|13.74948
Rosice,Okrouhlík|49.20051|16.36322
Olomouc,Kubatova|49.61447|17.29206
Lvov,žel.st.|50.78099|14.78788
Nemilkov,rozc.1.0|50.46387|13.60932
Milevsko,U věžáku|49.44299|14.37271
Doloplazy,hor.konec|49.57171|17.41408
Cherson,AS|50.18729|15.85092
Rosice,kamenolom|49.20488|16.3416
Olomouc,Týneček|49.62245|17.29532
Čepirohy,areál ALTAMEX|50.47203|13.61756
Varnsdorf,CLO|50.95545|14.55366
Přáslavice,Kocourovec|49.58254|17.41128
Milevsko,Nádražní|49.4438|14.372
Zbůch,Starý důl rozc.|49.67097|13.21502
Pardubice,Nové Srnojedy|50.0384|15.70523
Praha,Letiště|50.10839|14.26212
Svésedlice,rozc.|49.57487|17.37441
Karlovy Vary,Kpt.Jaroše|50.22782|12.83648
Pardubice,Staré Srnojedy|50.03781|15.69685
Chmeľnickij,AS|49.22329|17.65478
Třebíč,Marie Majerové|49.22214|15.88268
Havlíčkův Brod,Svatý Kříž,u pomníku|49.56724|15.57722
Žehušice,obora|49.96254|15.42754
Pálovice,náves|49.00532|15.53738
Ivančice,Řeznovice,hřbitov|49.08438|16.31468
Mokrouše,háj.|49.70827|13.54367
Čepirohy,okály|50.48623|13.62099
NC Černice|49.69949|13.42689
Prostřední Bečva,Pod Tanečnicí lom|49.47958|18.28626
Němčice,hrad Nový Herštejn|49.41471|13.06541
Luck,AS|50.22136|12.83944
Oslo,Bussterminal|49.19017|15.45225
Bukovice|49.7007|14.75488
Petřvald,Marjánka|49.83873|18.40676
Svinesundhagen,ZOLL|50.0029|14.55844
Brno,CTPark Brno South|49.17839|16.66773
Měchenice,samoobsluha|49.95984|14.36004
Liberec,Vratislavice n.Nisou,Vratislavická Kyselka|50.73337|15.10899
Lomnice,škola|50.52932|15.37415
Chodov,u koupaliště|50.24494|12.74102
Vranov n.Dyjí,pláž|48.91266|15.81612
Měchenice,žel.st.|49.91089|14.38398
Rohozec|50.61049|15.14866
Uman,AS|49.18262|16.62
Domašov n.Bystř.,žel.st.|49.74033|17.44492
Korec,AS|50.20161|14.9579
Brno,Letiště - logistický areál|49.15692|16.69894
Dešná|48.94127|15.56517
Lipovec,dolní konec|49.39196|16.7978
Domašov n.Bystř.,ÚNZ|49.74474|17.44243
Unín|49.38274|16.49223
Černíky|50.1023|14.82023
Hraničné Petrovice,rest.|49.73893|17.40123
Zhoř|49.61496|14.98152
Lípa|49.80137|15.67459
Lund,Busstationen|49.01055|17.18231
Jívová,nám.|49.70805|17.39343
Krčmaň,náves|49.52066|17.34377
Vodice,aut.kolodvor|49.46342|14.90898
Jívová,č.126|49.70605|17.3881
Bělkovice-Lašťany,Bělk.údolí rozc.|49.71523|17.35686
Znojmo,Městská plovárna Louka-Loucký klášter|48.84062|16.05818
Brno,U jezírka|49.21108|16.53242
Valtice,Úvaly,CLO|48.80725|16.6256
Reitzenhain,Wendeschleife|50.52068|13.2518
Dolné Vestenice,Jednota|48.8884|16.64452
Domašov u Šternberka,nám.|49.70587|17.33812
Chlumčany,Hradčany,rozcestí|49.63055|13.32875
Znojmo,Přehrada-údolí Dyje|48.85374|16.04354
Děpoltovice,Nivy,hájovna|50.28271|12.84019
Brno,U buku|48.97438|16.78302
Újezdec,U Spojů|49.43288|17.46184
Vratěnín,CLO|49.0804|15.41609
Děpoltovice,rozcestí koupaliště|50.28929|12.82031
Brumov-Bylnice,CLO|49.09096|18.02181
Domašov u Šternberka,chat.oblast|49.70852|17.33089
Chomutov,Přečáply|50.43104|13.47289
Deštná|49.61355|16.56478
Vranov,křiž.|49.35984|16.64663
Vlachovice|49.597|16.04088
Unkovice,rozc.0.5|49.01552|16.60467
Znojmo,kostel sv.Mikuláše|48.85472|16.04594
Chomutov,Přečáply,starý cukrovar|50.43594|13.46741
Liptál,Lůžko|49.27676|17.91428
Lužice,nám.|49.71579|17.25976
Lanžhot,CLO|48.72672|16.98278
Petrovice u Karv.,Dolní Marklovice,škola|49.88284|18.54688
Zvolen,AS|50.50111|14.42833
Znojmo,Ulice Přemyslovců|48.85615|16.046
Praha,Hradčanské náměstí|50.08959|14.39713
Údlice|50.43943|13.458
Šternberk,hřbitov|49.72649|17.27478
Berlin,Bahnhof Südkreuz|50.10325|14.43578
Letiště terminál|50.1053|14.26705
Petrovice u Karv.,Dolní Marklovice,kostel|49.892|18.56974
Znojmo,náměstí Svobody|48.86031|16.04734
Jihlava,M.Beranov,Nové stavení|49.4003|15.63167
Rusava,Ráztoka,hotel|49.33568|17.69654
Klučenice,ObÚ|49.553|14.21207
Litoměřice,Koupaliště|50.37958|14.91811
Banská Bystrica,AS|48.46393|18.70806
Trojanovice,Bystré,u kříže|49.52439|18.27374
Jihlava,V.Beranov,Nové Domky|49.40483|15.64936
Znojmo,Masarykovo nám.|48.85454|16.04986
Olomouc,Nová Ulice|49.58735|17.24426
Litoměřice,Lodní náměstí|50.52997|14.13116
Petrovice u Karv.,Dolní Marklovice,dvůr|49.89111|18.56314
Olomouc,Tyfloservis|49.58005|17.23366
Jihlava,V.Beranov,zast.|49.40228|15.6315
Kadaň,Tušimice|50.38138|13.33924
Chop,AS|50.09919|14.39707
Znojmo,Ulice Milady Horákové-autobusové a vlakové nádr.|48.85299|16.05821
Olomouc,FN Ortopedie|49.58198|17.23693
Kobylnice|50.00668|15.37631
Petrovice u Karv.,Dolní Marklovice,Pustky|49.89474|18.55178
Klenčí p.Čerch.,Jindřichova Hora|49.41447|12.75383
Olomouc,FN U lékárny|49.58317|17.23922
Bohdalice-Pavlovice,Pavlovice|49.21196|17.05991
Kiev,Avtovokzal Kiev|49.97231|12.70156
Nemecká|50.85555|15.16494
Sviadnov,,Bioskládka|49.69095|18.31287
Olomouc,FN III. interní klinika|49.58389|17.2392
Letohrad,Nad Bažantnicí|50.04258|16.51316
Karlovy Vary,Globus|50.21937|12.8065
Olomouc,FN Ředitelství|49.58573|17.24018
Semily,Spálov,žel.zast.|50.6341|15.30098
Střížovice,rozc.0.5|49.25132|17.44829
Zatoka,AS|49.57018|14.14306
Nysa,dw.aut.|50.72314|15.17375
Olomouc,Globus|49.60153|17.22308
Olomouc,FN Centrální příjem|49.58467|17.23787
Jesenný,obec|50.66297|15.34279
Hájek|49.38654|15.27846
Olomouc,Olomouc CITY|49.6024|17.22062
Luhačovice,Valaška|49.11359|17.76543
Olomouc,FN Zdravotníků|49.58639|17.23747
Brezno,žel.st.|50.41343|15.00483
Uničov,u pomníku|49.77367|17.12039
Obecnice,Oseč,Pod Třemošnou|49.70331|13.94912
Tupesy,k Břestku|49.08667|17.36481
Olomouc,Fakultní nem.|49.58595|17.2396
Mukačevo,AS|50.09|14.44028
Uničov,Dukelská|49.76993|17.11595
Olomouc,Šibeník|49.59644|17.23772
Chrudim,nemocnice|49.94227|15.80736
Velký Valtinov,Paseky|50.756|14.75137
Jívová,Olomoucká|49.7045|17.38877
Bystrá|49.50811|15.37085
Loukov,křiž.|49.34439|17.98405
Olomouc,Pionýrská|49.5776|17.23832
Uničov,sídl.Pionýrů|49.76738|17.11255
Užhorod,AS|50.09|14.44028
Olomouc,Svornosti|49.59414|17.23449
Velký Valtinov,u Paseků|50.73919|14.7392
Dolany,Pohořany,garáž|49.67234|17.37761
České Budějovice,Kněžské Dvory - škola|49.00046|14.47595
Šanov,pož.zbroj.|48.80216|16.37403
Uničov,Renoty,náves|49.74061|17.10187
Olomouc,U zlaté koule|49.59646|17.23464
Olomouc,Tabulový vrch|49.58331|17.22264
Loučka,náves|49.39793|17.66578
Mošnov,kulturní dům|49.68761|18.13174
Dolany,Pohořany,hor.konec|49.67634|17.38398
Karlovy Vary,Mattoniho nábřeží|50.23742|12.88358
Olomouc,Gymnázium Hejčín|49.60236|17.23852
Uničov,Dětřichov,náves|49.73573|17.1242
Olomouc,Nemilany|49.55876|17.24427
Praha,Dvořákovo nábřeží|50.09303|14.4203
Dolany,Véska,Dolní bouda|49.66961|17.36157
Bílsko,náves|49.33476|14.04049
Česká Třebová,Svinná,rozc.|49.90406|16.39925
Norberčany,Stará Libavá,křiž.|49.77862|17.49765
Olomouc,Velkomoravská|49.58112|17.25673
Uničov,pekárna|49.7715|17.12196
Vilémov,Na Prátné|49.64145|17.00376
Olomouc,Slavonín,Cihelna|49.56074|17.24239
Hradec Králové,Křižovatka Běleč|50.21315|15.90904
Norberčany,Stará Libavá,závod|49.77419|17.49759
Dolany,Véska,náves|49.65852|17.35544
Velké Meziříčí,Výtahy|49.37018|16.01505
Frenštát p.Radh.,Žuchov|49.54564|18.23971
Mirovice,Ráztely,rozc.2.0|49.52359|14.00319
Olomouc,Kyselovská|49.56452|17.23659
Vilémov,náves|49.97171|15.32755
Ružomberok,AS|49.06897|19.27191
Norberčany,náves|49.61637|17.19751
Ostrava,Poruba,Bedřicha Nikodema|49.84243|18.15568
Běleč|49.54336|14.83625
Hulín,TOS|49.31097|17.47728
Žatec,Astra|50.38625|13.26297
Olbramice,čekárna|49.61348|16.9999
Dolany,Nové sady|49.65309|17.35045
Norberčany,Trhavice|49.74739|17.51184
Košice,AS|50.06361|15.22924
Zlín,J.Staši|49.20607|17.59362
Vilémov,rozc.Olbramice|49.6311|16.9964
Olomouc,Slavonín,křiž.|49.56857|17.23419
Dolany,Pod Kartouzkou|49.65268|17.3337
Vranov n.Dyjí,před hrází|48.90127|15.81745
Hlavní nádraží|50.03189|15.75638
Hulín,u mostu|49.31456|17.47069
Praha,Schorova|50.10223|14.46919
Zlín,Jarolímkovo nám.|49.20531|17.59488
Město Libavá,nám.|49.72075|17.52024
Senice na Hané,Cakov,rest.|49.62662|17.02589
Olomouc,Slavonín,Dům seniorů|49.56925|17.24189
Třebětice|49.31744|17.51945
Senička,rest.|49.63238|17.05596
Zlín,1.máje|49.29788|17.39305
Město Libavá,Heroltovice,sídliště|49.7373|17.48576
Velké Karlovice,Miloňov,hotel|49.38322|18.31492
Pardubice,ul.17.listopadu|50.03233|15.76953
Lubny,AS|50.27765|16.38858
Senice na Hané,Odrlice,rozc.|49.63302|17.06756
Prešov,AS|49.8016|13.57886
Zlín,Kamenec I.|49.19908|17.59708
Domašov n.Bystř.,lihovar|49.74294|17.45301
Olomouc,Zikova|49.57757|17.25603
Senice na Hané,škola|49.62492|17.09002
Pardubice,Letiště|50.01677|15.72508
Litomyšl,sportovní areál|49.86469|16.31959
Velké Karlovice,Miloňov,penzion|49.37726|18.30456
Zlín,Kamenec II.|49.20021|17.59861
Šternberk,Těšíkov,Kyselka rozc.|49.73628|17.37642
Kolín,Tesla|50.02223|15.20663
Olomouc,Rožňavská|49.57484|17.25292
Senice na Hané,pož.zbroj.|49.62565|17.08857
Litomyšl,Z.Kopala|49.86211|16.31095
Zlín,Pionýrů|49.20174|17.59572
Velké Karlovice,Miloňov,U Malinů|49.37213|18.30846
Staré Město,Bratří Mrštíků|49.07578|17.43021
Šternberk,Těšíkov|49.73734|17.34745
Kolín,Kablo|50.01081|15.22604
Valy|50.03198|15.61407
Zlín,Zabrání|49.20371|17.59504
Poprad,AS|49.97227|16.39708
Pardubice,Dukla,KD|50.02483|15.76455
Lipina,Stachov|49.73536|17.3275
Senice na Hané,žel.st.|49.62152|17.10004
Olomouc,Jižní|49.56861|17.23948
Znojmo,Družstevní stanice STK|48.8517|16.06675
Tišnov,Hájek,rozc.1.4|49.365|16.45333
Hustopeče,Kaufland|48.95129|16.72418
Netunice,náves|49.65139|13.43536
Zlín,Sokolovská|49.20467|17.59085
Bouzov,Kozov,čekárna|49.70485|16.86586
Lipina|49.7301|14.99869
Senice na Hané,stará pošta|49.62467|17.08887
Valašské Klobouky,záv.Igla|49.14059|18.01914
Bouzov,Bezděkov,rozc.|49.70885|16.87342
Luká,nám.|49.64925|16.94972
Zlín,Tyršova|49.20266|17.56894
Olomouc,U kapličky|49.60838|17.23473
KARLA|50.00874|17.47454
Senice na Hané,kult.dům|49.62291|17.08447
Bouzov,Doly,rozc.|49.70952|16.88136
Hranice,nemoc.|50.19949|15.82439
Ivaň,rozc.|49.4333|17.25929
Smila,AS|49.21445|15.88677
Pula,aut.kolodvor|49.81879|16.29237
Zlín,Masarykova|49.33055|17.58314
Náměšť na Hané,Biskupství|49.60593|17.06692
Olomouc,Povel škola|49.57998|17.24882
Žilina,AS|50.07108|14.40094
Bouzov,nám.|49.70412|16.89345
Olomouc,aut.nádr.|49.58819|17.28577
Bouzov,Jeřmaň,náves|49.71779|16.89526
Zlín,Mlýnská|49.30008|17.3922
Olomouc,Fibichova|49.5893|17.27784
Olomouc,U botanické zahrady|49.58589|17.24898
Náměšť na Hané,nám.|49.60354|17.06463
Zlín,Sklady|49.23609|17.67059
Bouzov,Jeřmaň,most|49.7209|16.89542
Udvar,ZOLL|50.0029|14.55844
Nádraží|50.08299|14.43698
Olomouc,Kosmonautů|49.59173|17.27498
Náměšť na Hané,u žel.přejezdu|49.60071|17.06847
Olomouc,Smetanovy sady|49.58558|17.25475
Dolina,AS|50.04804|14.48986
Rabuiese,ZOLL|50.0029|14.55844
Olomouc,Tržnice plocha|49.58864|17.25461
Metropol|50.05846|14.29403
Trnava,AS|49.27968|17.82722
Olomouc,tržnice|49.58947|17.25508
Loučany,Hliníky|49.60029|17.08085
Mladeč,Sobáčov,rest.STOP|49.69449|17.03713
Kaluš,AS|49.59674|17.24642
Olomouc,Trnkova|49.57956|17.25731
Olomouc,Nám.Hrdinů|49.59526|17.2472
Letiště České Budějovice-Terminál|48.95003|14.43612
Drahanovice,Na Nové|49.58409|17.08657
Olomouc,Andělská|50.02754|16.97852
Modriča,Autobuska stanica|49.13378|16.60617
Čepirohy,zahrádkářská kolonie|50.48521|13.62349
Drahanovice,žel.st.|49.58335|17.07923
Olomouc,Ahold|49.56159|17.26179
Nitra,AS|50.57154|15.61117
Tlumač,AS|49.40736|12.92474
Olomouc,Na Střelnici|49.61937|17.24161
Most,Hipodrom|50.4745|13.64665
Kožušany-Tážaly,křiž.|49.47192|17.11183
Manětín,Na Výhledech|49.97022|13.26315
Olomouc,Ladova|49.60263|17.24161
Brody,AS|50.24712|13.33782
Blatec,rozc.|49.52906|17.25147
Holýšov,Kasárenská|49.61021|13.08746
Kladno,Belgická|50.12005|14.11258
Zlaté Moravce,AS|49.93705|17.89558
Klatovy,u autobusového nádraží|49.40123|13.27922
Blatec,náves|49.61637|17.19751
Dlouhá Ves|49.57903|15.67347
Olomouc,Finanční úřad|49.6023|17.25298
Nýrsko,Pod Mezí|49.29686|13.15117
Charváty,náves|49.34747|17.44594
Katovice|49.27388|13.82992
Terezín|50.51485|14.14848
Olomouc,Lazce|49.60719|17.25221
Ořechov|49.03088|17.30246
Dubno,AS|50.40374|16.06952
Charváty,Drahlov,náves|49.51136|17.25094
Großschönau,Jonsdorfer Straße|50.90474|14.65016
Brezno,AS|50.66412|14.15003
Holetín,Dolní Holetín|49.80669|15.92176
Mariánské Lázně,Sídliště|50.06168|12.98536
Visoko,Autobuska stanica|48.983|13.77477
Rivne,AS|50.09|14.44028
Olomouc,Lazce,kaple|49.59456|17.25436
Dub n.Mor.,Bolelouc,rozc.|49.49759|17.26286
Zákupy,škola|50.68636|14.65078
Hodonín,Kapřiska|48.8522|17.10716
Suchonice,náves|49.34747|17.44594
Mariánské Lázně,Dopravní podnik|49.94878|12.71096
Brest,centr.nádr.|49.34928|17.45524
Olomouc,Frajtovo nám.|49.61242|17.25653
Großschönau,Cafe|50.95265|14.55681
Frýdek-Místek,Místek,ul.17.listopadu|49.67823|18.33203
Dub n.Mor.,Tučapy,rozc.|49.48865|17.26936
Třinec,Horní Líštná,CLO|49.74944|18.62524
Šarovy,Dvůr Lapač|49.14084|17.60491
Olomouc,Stratilova|49.61104|17.25938
Mais|49.22075|17.63686
Mariánské Lázně,Antoníčkův pramen|49.95168|12.71646
Stošíkovice na Louce,rozc.1.7|48.88985|16.1967
Olomouc,Farmak|49.61161|17.26412
Dub n.Mor.,Bolelouc,náves|49.49399|17.27108
Kiev,AS Petlyury|50.08312|14.43041
Horšovský Týn,Horní Metelsko,kaplička|49.5659|12.89325
Mariánské Lázně,Lékárna|49.94975|12.71342
Bahratal,grenzübergang|50.81497|13.98188
Lanškroun,Skleněný vrch|49.91169|16.60341
Kiev,AS|50.08312|14.43041
Leszna Górna,CLO|49.69966|18.71155
Velký Osek,ObÚ|50.09895|15.18581
Drmoul, Hřiště|49.93718|12.66322
Dub n.Mor.,Tučapy,náves|49.48951|17.27394
Ostrava,Poruba,PZ|49.81307|18.15585
Petrovice,CLO|49.77463|15.55974
Olomouc,Na Pile|49.6037|17.27953
Hněvotín,škola|49.57471|17.1814
Bravantice,Lidl|49.75575|18.10059
Vejprnice,Tyršova|49.72721|13.2794
Volovec,AS|48.85607|20.9356
Hradec Králové,Předměřice PANELÁRNA|50.25663|15.8189
Olomouc,Topolany,Bílkova|49.58639|17.17958
Dub n.Mor.,Tyršova|49.48221|17.27642
Dolany,Dolánky,rozc.|49.6511|17.31068
Polepy|50.00536|15.20511
Hradec Králové,Předměřice Cukrovar|50.25264|15.81368
Polom,odb.Sudslava|50.04781|16.29436
Eck|50.56591|15.91989
Šternberk,Olomoucká|49.7331|17.3018
Třebešice|49.9296|15.33882
Zlín,Podvesná XVI.|49.22843|17.69269
Nové Město na Mor.,Polní|49.56966|16.06766
Zlín,Podvesná XII.|49.22876|17.68866
Hradec Králové,Předměřice Na Staré|50.23103|15.84843
Šternberk,aut.st.|49.72165|17.28554
Zlín,Vodní|49.22921|17.66914
Wisla,Labajów,Centrum|52.24166|21.02871
K.-Podilskyy,AS|49.22329|17.65478
Nové Město na Mor.,Německého|49.56047|16.06751
Hradec Králové,Předměřice pošta|50.25882|15.81479
Šternberk,nem.|49.72308|17.29784
Havlíčkův Brod,Občiny|49.59149|15.54821
Halenkov,Břežitá,konečná|49.3142|18.1845
Kadov|49.63279|16.07959
Lutopecny,cihelna|49.29876|17.35747
Dub n.Mor.,nám.|49.19832|16.60716
Bavoryně|49.90013|13.96083
Lipina,rozc.|49.74122|17.3225
Slavičín,ZŠ Vlára|49.09108|17.87979
