stop	latitude	longitude
Ostrov,Škoda 42	50.33164	12.95581
Terespol,CLO	52.07426	23.60256
Warszawa,dw.Wschodni	52.25232	21.05179
Nysa,dw.aut.	50.47784	17.34107
Hrebenne,CLO	50.29834	23.57648
Kiev,Naberezhno-Pechers'ka Rd	50.40191	30.55914
Charkov,AS Privokzalna	49.99046	36.20502
Kraków,Ul.Medweckiego 15	50.07591	20.01071
Przemysl,dw.aut.	49.78407	22.77533
Brno,U jezírka	49.26983	16.62912
Brno,U buku	49.27637	16.63033
Krásné,nad řekou	49.68359	16.14644
Považ.Bystrica,AS	49.09237	18.41643
Dolní Bousov,nádraží	50.44156	15.1323
Sieniawka,CLO Kopaczów	50.87315	14.95921
Zgorzelec,PKP	51.1468	15.0147
Legnica,dw.PKS	51.20603	16.18325
Čuhujiv,AS	49.83678	36.69445
Izjum,AS	49.18802	37.27749
Slavjansk,AS	48.84677	37.59353
Kramatorsk,AS	48.73647	37.57125
Kolín,Za Jízdárnou	50.01659	15.1946
Kolín,Zásmucká	50.01534	15.1924
Pardubice,Letiště	50.01786	15.72585
Kolín,OC Stará plynárna	50.02104	15.21027
Kladno,Belgická	50.12005	14.11258
Tübingen,Busbahnhof	48.51635	9.05453
Aichach,Bäckerei Zametzer	48.46199	11.13439
Lodz,dw.Fabryczna	51.7702	19.46965
Warszawa,dw.Zachodni PKS	52.21834	20.96334
Letohrad,Nad Bažantnicí	50.04258	16.51316
Hustopeče,Kaufland	48.94945	16.72464
Česká Lípa,U Hřbitova	50.67171	14.59048
Tupesy,u hřiště	49.08993	17.37565
Kiev,žel.st.	50.4466	30.46647
Bremen,ZOB International	53.08215	8.81303
Zinnwald,ZOLL	50.74452	13.75707
Udvar,ZOLL	45.8965	18.66099
Šamac,Autobuska stanica	45.05293	18.47104
Modriča,Autobuska stanica	44.96455	18.30026
Doboj,Autobuska stanica	44.7281	18.09088
Maglaj,Autobuska stanica	44.54586	18.09376
Žepče,Autobuska stanica	44.42239	18.04031
Zenica,Autobuska stanica	44.20909	17.91248
Kakanj,Autobuska stanica	44.12203	18.11057
Visoko,Autobuska stanica	43.99113	18.18403
Sarajevo,Autobuska stanica	43.85883	18.39687
Brno,Tribuny A-B-C	49.20915	16.45306
Brno,Tribuna D	49.20915	16.45306
Geneve,gare rout.-pl.Dorciere	46.20835	6.14685
Lausanne,park.Velodrome	46.53606	6.62238
Bern,Car-Terminal Neufeld	46.96384	7.43366
Saarbrücken,Fernbusbahnhof Dudweilerstrasse	49.24196	7.00049
Marienberg,Markt	50.65107	13.16345
Marienberg,Reitzenhainer Str.	50.64761	13.15998
Marienberg,Neues Haus	50.59466	13.18078
Reitzenhain,Kfz-Werkstatt	50.56499	13.21941
Reitzenhain,Wendeschleife	50.55708	13.21869
Havlíčkův Brod,Stříbrný Dvůr	49.6056	15.60274
Tallinn,aut.nádr.	59.42716	24.77377
Pärnu,aut.nádr.	58.38599	24.50496
Ikla,CLO	-19.04915	-65.24564
Ainaži,CLO	57.86434	24.35822
Riga,aut.nádr.	47.90934	33.42209
Riga,Airport	56.92158	23.98065
Grenctale,CLO	56.31016	24.33711
Saločiai,CLO	56.22839	24.42431
Vilnius,Studentu st.	54.69727	25.26378
Vilnius,aut.nádr.	54.67071	25.28185
Vilnius,Savanoriu prospektas	54.67355	25.24732
Druskininkai,Autobusu Parkas	54.00849	23.98367
Lazdijai,CLO	54.23592	23.51528
Ogrodniki,CLO	49.8518	19.03541
Bialystok,dw.PKS	53.1319	23.1344
Warszawa,Metro Marymont	52.27181	20.96829
Warszawa,Lotnisko Chopina	52.16964	20.97518
Pyrzowice,Wolnosci	50.46796	19.07186
Bílovice-Lutotín,Lutotín,rozc.	49.50804	17.04591
Lešná,Vysoká,točna	49.51854	17.94726
Vítkov,Zálužné,rozcestí	49.81427	17.71064
Vítkov,Nové Těch.	49.80686	17.71473
Szklarska Poręba,Rest.Bombaj	50.8192	15.43672
Szklarska Poręba,Kamieńczyk	50.82323	15.4985
Szklarska Poręba,Średnia	50.83846	15.54002
Piechowice,skryzowanie	50.85171	15.59147
Piechowice,Górne	50.84754	15.57906
Piechowice,centrum	50.84927	15.59231
Sobieszow,pętla	50.84701	15.64171
Podgórzyn,Dolny	50.83704	15.6796
Podgórzyn,Kościół	50.83388	15.68362
Podgórzyn,Milkow	50.80872	15.76208
Karpacz,Bachus	50.77509	15.75748
Karpacz,Bialy Jar	50.77341	15.7388
Holetín,Dolní Holetín	49.80669	15.92176
Vranov n.Dyjí,před hrází	48.90127	15.81745
Stružná,Horní Tašovice,rozc.	50.17157	13.01473
VYSOKÁ	50.11183	14.473
Hradec Králové,Vysoká hostinec	50.15538	15.8179
Vsetín,Jasenice,I	49.36045	18.04744
Veltruby,,I	50.05843	15.18754
Litomyšl,sportovní areál	49.86469	16.31959
Litomyšl,Z.Kopala	49.86211	16.31095
Kraków,dw.aut.Czyzyny	50.06729	19.9491
Hromnice,Žichlice,u památníku	49.83926	13.46045
Sudoměřice,CLO	49.29014	14.51042
Skalica,žel.st.	48.85003	17.21892
Skalica,rázc.k žel.st.	48.84626	17.22302
Skalica,Mallého ul.	48.84324	17.22258
Vrádište,rázc.	48.82813	17.18898
Holíč,Sasinkova ul.	48.81464	17.15664
Hodonín,CLO	48.85641	17.12204
Polom,rozc.k Lučicím	49.58199	17.81735
Oleksandrija,AS	48.67079	33.12932
Znamjanka,AS	48.71788	32.67033
Pereyaslav-Khmelnytsky,AS	50.06346	31.44368
Hodonín,MDO	48.85641	17.12204
Uherský Ostroh,točna	48.98377	17.37806
Uherský Ostroh,rest.Osmek	48.98645	17.40539
Znojmo,Městská plovárna Louka-Loucký klášter	48.84062	16.05818
Znojmo,Přehrada-údolí Dyje	48.85374	16.04354
Znojmo,kostel sv.Mikuláše	48.85453	16.04647
Znojmo,Ulice Přemyslovců	48.85615	16.046
Znojmo,náměstí Svobody	48.8607	16.04947
Znojmo,Masarykovo nám.	48.85454	16.04986
Znojmo,Ulice Milady Horákové-autobusové a vlakové nádr.	48.85299	16.05821
Starý Mateřov	50.00182	15.71589
Fulnek,k zámku	49.70385	17.89717
Mariánské Lázně,Klimentov	50.14944	12.68028
Božičany,KSNP	50.25255	12.76714
Havlíčkův Brod,Okrouhlická	49.61194	15.54835
Kostelec n.Orl.,Technické služby	50.11787	16.23133
Vojkovice,pod mostem	49.67242	18.47748
Chomutov,Přečáply	50.43104	13.47289
Chomutov,Přečáply,starý cukrovar	50.43594	13.46741
Údlice	50.43963	13.46036
Třebíč,Marie Majerové	49.22214	15.88268
Lipník n.Bečvou,Podhoří,Peklo	49.56702	17.62304
Sereď,nám.	48.28598	17.74077
Zlaté Moravce,AS	48.38359	18.39066
Nová Baňa,žel.st.	48.41351	18.64773
Žarnovica,motel Sitno	48.48264	18.72157
Mirovice,Ráztely,rozc.2.0	49.52359	14.00319
Jastrzębie-Zdrój,Dworzec Zdrój	49.94537	18.57373
Jastrzębie-Zdrój,Armii Krajowej Word	49.94337	18.56437
Jastrzębie-Zdrój,Hala Sportowa	49.94455	18.57807
Jastrzębie-Zdrój,Piłsudskiego - Os. Pionierów	49.95117	18.60081
Jastrzębie-Zdrój,Dworzec Arki Bożka	49.94554	18.60991
Jastrzębie-Zdrój,Podhalańska-Rondo Ruptawskie	49.93943	18.59412
Jastrzębie-Zdrój,Podhalańska Cmentarz	49.94017	18.59752
Zebrzydowice,Poziomkowa	49.89511	18.60288
Zebrzydowice,Słowicza	49.88943	18.60346
Zebrzydowice,Skrzyżowanie	49.87893	18.60206
Zebrzydowice,Skotnica	49.87784	18.59928
Zebrzydowice,Jagodowa	49.88061	18.59118
Marklowice,Kępka	49.88285	18.58491
Marklowice,Pętla	49.88494	18.57712
Marklowice Górne,CLO	50.01546	18.54481
Brezno,ul.ČSA	48.80729	19.63898
Pohronská Polhora,OcÚ	48.75493	19.79903
Hnúšťa,aut.st.	48.57588	19.95352
Tornaľa,aut.st.	48.42415	20.32457
Plešivec,nám.	48.54507	20.40296
Bratislava,Malý trh	48.14769	17.12438
Vlkaneč,škola	50.04115	15.21319
Burštyn,AS	49.25433	24.62984
Halyč,AS	49.12244	24.72811
Chotyn,AS	48.49592	26.48801
Skala-Podilska,AS	48.84411	26.19872
Kopyčynci,AS	49.10428	25.90907
Terebovlja,AS	49.3026	25.6892
Korsuň-Ševčenkivskyj,AS	49.41703	31.24562
Horodyšče,AS	49.29089	31.42697
Čyhyryn,AS	49.08529	32.6536
Svitlovodsk,AS	49.06835	33.24998
Poprad,Dom kultúry	49.05491	20.29581
Prešov,AS MHD žel.st.	48.98384	21.24993
Kapušany,Prešovská	49.04244	21.33168
Dřevohostice,kostel	49.42659	17.59407
Lutopecny,cihelna	49.29876	17.35747
Mulhouse,gare SNCF	47.74625	7.30889
Belfort,Avenue Fauborg de Montbéliard	47.51423	6.80808
Montbéliard,Acropole	47.50976	6.80198
Dole,Parking du Péage de Dole	47.06404	5.44758
Lyon,Saint Exupéry Airport	45.71869	5.07917
Goričan,ZOLL E65	46.41122	16.69756
Sukošan,dr. Franje Tuďmana	44.04708	15.31368
Biograd na Moru,aut.kolodvor	43.9378	15.44386
Pakoštane	43.91423	15.51
Primošten,aut.kolodvor	43.58801	15.92514
Bogatynia,AS	50.90621	14.95689
Opole,dw.aut.	50.46638	17.00828
Gliwice,dw.PKP	50.30033	18.6758
Skole,AS	50.06765	14.34124
Stebnyk,AS	49.29705	23.55476
Truskavec	49.28847	23.50569
Drohobyč,AS	49.35799	23.51229
Sambor,AS	49.51667	23.21092
Ryškan,AS	47.95611	27.55262
Praha,Žabovřeská	49.9703	14.38561
Stošíkovice na Louce,rozc.1.7	48.88985	16.1967
Kuřimská Nová Ves,Prosatín,rozc.1.0	49.33908	16.29407
Buchlovice,Zahrady	49.09352	17.32828
Chlumčany,Hradčany,rozcestí	49.63055	13.32875
Pokrovsk,AS	48.30436	37.24855
Pavlohrad,AS	48.52677	36.05823
Havlíčkův Brod,Baštínov	49.57826	15.60635
Tiraspol,aut.nádr.	46.84751	29.62913
Bender,aut.nádr.	46.82957	29.48468
Anenii Noi,aut.nádr.	46.88504	29.23458
Spořice,V Loužích	50.45119	13.39147
Luzern,Landenberg	47.04691	8.31574
Černigov,Peremohy Ave	51.49455	31.29569
Korec,AS	49.40132	15.31294
Sečovce,aut.st.	48.701	21.6543
Sobrance,aut.st.	48.74661	22.17598
Praha,Schorova	50.10223	14.46919
Hostouň,Mírkovice	49.57971	12.79317
Turka,AS	60.65399	21.96078
Staryi Sambor,AS	49.51667	23.21092
Lutsk,AS	50.76036	25.35467
Plzeň,Prostřední	49.7338	13.31209
Zoločiv,AS	49.80816	24.90279
Kraków,RDA	50.06783	19.94951
Chodov,u koupaliště	49.87482	14.50105
Milevsko,Nádraží ČD	49.4418	14.37796
Milevsko,U věžáku	49.44299	14.37271
Milevsko,Nádražní	49.4438	14.372
České Budějovice,Kněžské Dvory - sokolovna	49.00815	14.47707
Rojetín,rozc.0.5	49.37043	16.25446
Barcelona,est.de autobuses Norte	41.39464	2.18304
Montpellier,Sabines	43.58385	3.8601
Grenoble,Condillac-Universités	45.1893	5.77445
Basel,Meret Oppenheim-Strasse	47.54541	7.59076
Lubycza Królewska,dw.aut.	50.33834	23.52101
Vrbátky,ObÚ	49.50829	17.20114
Vrbátky,křiž.	49.50606	17.19755
Hradec Králové,U Lupínků	50.23472	15.85128
Warszawa,dw.aut.	52.21799	20.96318
Tlumač,AS	48.86389	25.00404
Leverkusen,Busbahnhof Leverkusen-Mitte	51.03229	6.99042
Essen,ZOB	51.4503	7.01513
Dortmund,ZOB	51.51959	7.45906
Výrovice,rozc.2.0	48.91696	16.10341
Výrovice,host.	48.92865	16.12023
Znojmo,Pod Soudním vrchem	48.86835	16.03426
Znojmo,U Lesíka	48.8715	16.04488
Rožnov p.Radh.,zemědělská škola	49.46106	18.13765
Lanškroun,Skleněný vrch	49.91169	16.60341
Holubice,žel.st.	49.17979	16.82465
Děpoltovice,Nivy,hájovna	50.28271	12.84019
Děpoltovice,rozcestí koupaliště	50.28929	12.82031
Adamov,Na Lukách	49.00525	14.55346
Krmelín,Proskovická	49.73377	18.23081
Ostrava,Proskovice,has.zbroj.	49.74816	18.20186
Ostrava,Polanka,Štěrkopísek	49.78408	18.14598
Železná Ruda,Špičák	49.17282	13.22559
Pila	49.6719	15.41357
Zlín,U Mlýna	49.20765	17.58467
Zlín,Trávníky	49.2697	17.43236
Zlín,Pošta	49.10179	17.76017
Zlín,Dr.E.Beneše	49.20122	17.53554
Zlín,Havlíčkova	49.29123	17.37598
Zlín,Nadjezd	49.08465	17.43272
Zlín,U Dřevnice	49.2093	17.52385
Zlín,Pneumatikárna	49.19867	17.52608
Zlín,Teplárna	49.20551	17.51705
Zlín,Hurdisky	49.21162	17.51722
Zlín,Zahradní	49.21969	17.51439
Zlín,Společenský dům	49.21494	17.51345
Nova Kachovka,AS	46.75784	33.36983
Melitopol,AS	46.84806	35.36969
Berďansk,AS	46.75984	36.80252
Mariupol,AS	47.09559	37.54204
Hradec Králové,Rusek - Jednota	50.25468	15.85109
Hradec Králové,Plotiště škola	50.2259	15.80375
Tupesy,k Břestku	49.08667	17.36481
Neckarsulm,Bhf	49.17039	9.22448
Nysa,dw.PKP ul.Raclawicka	50.47788	17.34056
Chuderov,statek	50.69127	14.04774
Volovec,AS	48.71404	23.18211
Kadaň,Tušimice	50.37537	13.32402
Borek,samoobsl.	50.53563	15.2312
Pardubice,letiště	50.01786	15.72585
Hinterstoder,Gemeindehaus	47.69917	14.15327
Želešice,host.	49.11682	16.58154
Tovste,AS	48.84627	25.72601
Zalishchyky,AS	48.64657	25.73101
Bodenmais,Cafe Winklstüberl	49.06603	13.10327
Bodenmais,Hotel Waldeck	49.06728	13.11154
Bodenmais,Silberberg Sesselbahn Talstation	49.0617	13.11808
Bodenmais,Schönebene	49.06383	13.1371
Bodenmais,Hochstraße Abzweig Rodelbahn	49.07003	13.13082
Bodenmais,Bretterschachten Langlaufzentrum	49.07393	13.15571
Bayer.Eisenstein,Arbersee	49.09903	13.15914
Bayer.Eisenstein,Neuhütte	49.12641	13.18805
Bayer.Eisenstein,P-Grenzübergang	49.12212	13.2027
Bayer.Eisenstein,Local-Bahn-Museum	49.11975	13.20346
Bayer.Eisenstein	49.09903	13.15914
Otrokovice,Terezov	49.23576	17.53828
Antwerpen,van Stralenstraat	51.20573	4.43253
Brussel,CCN Gare du Nord	50.86091	4.35995
Aachen,Henricistrasse	50.78355	6.07255
Köln,Hbf	50.94302	6.95841
Frankfurt am Main,Flughafen	50.05076	8.56932
Frankfurt am Main,Hbf	50.10767	8.66363
Würzburg,Hbf	49.80155	9.93578
Nürnberg,Bahnhofstrasse	49.4478	11.08599
Jelenia Góra,dw.aut.	50.90626	15.73075
Roztoky,žel.zast.Žalov	50.16793	14.36447
Tulčyn,AS	48.67318	28.85845
Yampil,AS	48.24138	28.28167
Semily,Spálov,žel.zast.	50.6341	15.30098
Jesenný,obec	50.66269	15.3427
Ostrava,Mor.Ostrava,Elektra	49.83495	18.2873
Lublin,dw.aut.Glowny	51.2318	22.56845
Zosin,CLO	50.86094	24.12962
Pjatichatky,AS	48.41301	33.70861
Kadaň,Prunéřov 2	50.41176	13.25849
Kadaň,Prunéřov 1	50.41176	13.25849
Vranov n.Dyjí,pláž	48.91455	15.81216
Chop,AS	48.43117	22.2103
Lipovec,dolní konec	49.39196	16.7978
Medyka,granica	49.80062	22.94134
Lindau,Blaukreuzstrasse	47.55272	9.70875
Memmingen,ZOB	47.98453	10.18655
Rožnov p.Radh.,Palackého ul.	49.46054	18.14514
Dolní Bečva,Dolní Rozpité,točna	49.4708	18.21076
Chrudim,K Májovu	49.95708	15.80451
Zürich,Flughafen	47.45039	8.5624
Konstanz,Fernbusbahnhof	47.67197	9.16337
Meersburg,Kirche	47.69538	9.2714
Friedrichshafen,Stadtbahnhof	47.65267	9.47351
Roztoky,Vltavská	50.16418	14.40023
Nova Odesa,Kukhareva St.8	47.31187	31.77414
Katowice,Airport	50.24324	19.0358
Duchcov,Nové sady	50.62074	13.74026
Plazy	48.91455	15.81216
Klatovy,Městské lázně	49.40006	13.27643
Kraków,Balice	50.07086	19.80051
Havlíčkův Brod,Králíčkova	49.6097	15.55997
Havlíčkův Brod,Ledečská	49.60685	15.56856
Meziříčí	49.47713	17.97748
Králův Dvůr,Na Poříčí	49.9411	14.03297
Králův Dvůr,nádraží	50.26172	15.72586
Doubravník,Prudká rozc.1.0	49.42198	16.37005
Bremen,Fernbusterminal	53.08391	8.80853
Tychy,dw.aut.	50.11156	18.99303
Kremenets,AS	50.9129	25.20705
Novyj Volynskij,AS	50.58736	27.60634
Kosiv,AS	48.31551	25.11007
Vyžnycja,AS	48.24162	25.18042
Storožynec,AS	48.1642	25.72303
Plzeň,Sídliště Litice	49.69813	13.34826
Plzeň,Větrná	49.6962	13.34767
Plzeň,Šlovická	49.69455	13.35042
NC Černice	49.69949	13.42689
Dušníky,teletník	50.41499	14.19398
Klatovy,u autobusového nádraží	49.40123	13.27922
Bogorodika,ZOLL	50.74452	13.75707
Thessaloniki,žel.st.ul.Monastiriu	40.65264	22.91119
Katerini,Central Bus Station	40.27464	22.51513
Larissa,New Bus station	39.63868	22.41621
Lamia,Fthiotida Intercity Bus station	38.88754	22.44592
Athens,Kiffisos bus station	37.99782	23.69795
Měchenice,žel.st.	49.91089	14.38398
Prilep	41.34425	21.54047
Ohrid,AS	41.12458	20.81216
Deljatin,AS	48.52388	24.62562
Rzeszów,airport	50.09832	22.05419
Klučenice,ObÚ	49.553	14.21207
Dortmund,Hbf ZOB Steinstrasse	51.51959	7.45906
Bochum,Hbf	51.47917	7.22311
Leverkusen,Busbahnhof	51.0664	7.00757
Nemilkov,rozc.1.0	50.46387	13.60932
Čepirohy,areál ALTAMEX	50.47203	13.61756
Petrovice,hranice	49.77451	15.56167
Serhiivka,AS	46.02505	30.35774
Kurortne,AS	45.93891	30.29962
Havlíčkův Brod,Občiny	49.59149	15.54821
Libějice	49.37414	14.63736
Otovice,CLO	50.25666	12.88184
Klenčí p.Čerch.,Jindřichova Hora	49.41447	12.75383
Lipová-lázně,žel.st.	50.22841	17.13078
Javorník,žel.st.	50.3948	17.01566
Teplá,Jitona	49.96872	12.8741
Nové Město na Mor.,Německého	49.56047	16.06751
Mýto,rozc.ke hřbitovu	49.79863	13.74948
Regensburg,Hbf	49.01173	12.09975
Bolzano,St.di autobus	46.4931	11.34091
Verona,Viale Girolamo Cardinale	45.43005	10.9834
Brescia,Bus Terminal Via Solferino	45.53303	10.21527
Bergamo,St.di autobus	45.69208	9.67672
Štítary,penzion M	48.91251	15.81883
Vranov n.Dyjí,zámek parkoviště	48.89725	15.8086
Hora Svatého Václava,Načetín,rozcestí	49.52036	12.75216
Vratěnín,CLO	48.90378	15.59717
Budapest,Népliget Ülloi út 131	47.47462	19.09883
Halámky,CLO	48.85361	14.91507
Petrovice u Karv.,Dolní Marklovice,Pustky	49.89474	18.55178
Mariánské Lázně,Koliba	49.97456	12.71286
Chisinau,aut.nádr.SUD-VEST	46.99262	28.79176
Bohdalice-Pavlovice,Pavlovice	49.21196	17.05991
Letyčiv,AS	49.38245	27.6211
Hradec Králové,Předměřice PANELÁRNA	50.25663	15.8189
Hradec Králové,Předměřice Cukrovar	50.25264	15.81368
Hradec Králové,Předměřice Na Staré	50.25566	15.81453
Hradec Králové,Předměřice pošta	50.25867	15.8144
Hradec Králové,Předměřice U Mikšů	50.26155	15.81475
Hradec Králové,Lochenice zastávka	50.26699	15.81654
Hradec Králové,Lochenice Konzum	50.27021	15.81849
Hradec Králové,Lochenice kostel	50.27276	15.81985
Sadov,Lesov,Sedmidomky	50.26243	12.9143
Sviadnov,,Bioskládka	49.69095	18.31287
Žďárky	50.46832	16.22635
Vysoká Srbská,Zlíčko,u Rozmichů	50.48364	16.22112
Vysoká Srbská,Zlíčko	50.48364	16.22112
Chisinau,aut.nádr.SUD	46.99262	28.79176
Kielce,dw.PKS	50.87539	20.62137
Brest,centr.nádr.	52.09861	23.68335
Baranovichi	53.1217	25.97272
Šenov u N.Jičína,Tesco	49.60121	18.00477
Zboriv,AS	49.66918	25.1313
Kicmany	48.43618	25.76148
Lovosice,obchodní centrum	50.50706	14.05252
Újezd nade Mží,rozcestí	49.80443	13.20667
Liberec,Vratislavice n.Nisou,Vratislavická Kyselka	50.73489	15.10573
Wien,Erdbergstrasse	48.19577	16.4089
České Budějovice,Haklovy Dvory - křižovatka	48.99288	14.41326
Plzeň,NC Studentská	49.77374	13.34851
Dubove,AS	48.18163	23.88597
Walbrzych,ul.Wroclawska 116	50.82263	16.30285
Swidnica,ul.Kolejowa 1D	50.83904	16.47862
Olawa,ul.3 Maja 4	50.94509	17.29835
Sokolniki,AS	49.77852	23.97561
Žovkva,AS	50.0561	23.97431
Červonohrad,AS	50.39076	24.23064
Raděhiv	50.27845	24.6352
Horohiv	50.50152	24.76188
Arad,autogara Transdara	46.19052	21.31959
Sibiu,autogara Turnisor	45.79352	24.15319
Brasov,gara	45.66121	25.61358
Husi,autogara Autobuzul	46.67671	28.0441
Würzburg,Bismarckstr.	49.80128	9.93324
Kudowa Zdrój,Nad Potokiem	50.43667	16.23746
Gent,Dampoort Station	51.0539	3.73974
Leuven,Station	50.88339	4.71431
Hasselt,Station	50.93181	5.32634
Maastricht,Station	50.85134	5.70406
Mariánské Lázně,Sídliště	49.9503	12.70952
Mariánské Lázně,Dopravní podnik	49.94878	12.71096
Mariánské Lázně,Antoníčkův pramen	49.95099	12.7158
Mariánské Lázně,Lékárna	49.95768	12.70617
Teplice,Náměstí Svobody	50.64106	13.82372
Vejprnice,Tyršova	49.72721	13.2794
Rudky,AS	49.65382	23.48721
Bayer.Eisenstein,Jugendherberge	49.12611	13.18904
Valašské Klobouky,Smolina,háj	49.16062	17.99705
Bucuresti,autogara Filaret	44.41515	26.09258
Ostrava,Hranečník,Teplotechna	49.8242	18.31889
Záluží,zdrav.stř.	50.55579	13.60233
Ostrava,Zábřeh,Kpt.Vajdy	49.78387	18.23538
Pardubice,UMA,točna	50.06562	15.70844
Pardubice,UMA,továrna	50.06285	15.71071
Ostrava,Poruba,Telekom.škola	49.93597	17.89885
Ostrava,Hulváky,Ferona	49.82623	18.24391
Zlín,Kocanda sídliště	49.24287	17.67375
Mariánské Lázně,Škola	49.95043	12.68542
Olomouc,Šantovka	49.58777	17.25795
Olomouc,V Kotlině	49.58346	17.25981
Olomouc,Pavlovičky	49.60143	17.27629
Olomouc,Pavlovická	49.60205	17.27779
Olomouc,Bělidla	49.59667	17.27854
Olomouc,Husův sbor	49.59373	17.28363
Olomouc,Hodolanská	49.59166	17.286
